Ant;Size1;Size2;Ball;Trial;Condition;Cookie;Order;Mean angular speed;blocked oscillation;fourrier;nb_osci;nb_block
11;0.87;0.39;LB;20;0;RC;2;209.19822802716652;0.7857142857142857;0.10670081092616303;12;44
23;0.815;0.374;LB;21;B;RC;1;115.36105164362093;0.21008403361344535;0.29075402209730566;47;13
23;0.815;0.374;LB;21;0;RC;2;92.95618745357278;0.47826086956521735;0.236630383341221;30;28
22;0.72;0.277;LB;22;B;RC;1;128.23911069765649;0.25714285714285723;0.2874071453837991;39;13
22;0.72;0.277;LB;22;0;RC;2;182.58520553391904;0.46987951807228906;0.20873821348880728;22;20
06;0.95;0.415;HB;23;B;RC;1;137.69270812561194;0.3009708737864078;0.14946977563799993;36;16
06;0.95;0.415;HB;23;0;RC;2;191.3855694197328;0.8015267175572519;0.08167932696234582;13;53
16;0.87;0.4;LB;24;0;RC;1;236.2921542839351;0.7346938775510204;0.09973149213655542;13;36
16;0.87;0.4;LB;24;B;RC;2;142.68890461902134;0.4067796610169491;0.1999466808850973;35;24
15;0.7;0.32;HB;25;0;RC;1;114.11216810743352;0.42500000000000004;0.12626262626262627;23;17
15;0.7;0.32;HB;25;B;RC;2;113.62978882149785;0.5510204081632653;0.08622176237282289;22;27
01;0.89;0.388;HB;26;0;RC;1;141.60664990123846;0.33962264150943394;0.3791912737599638;35;18
01;0.89;0.388;HB;26;B;RC;2;130.39325666937557;0.20312499999999997;0.5072321487008312;51;13
20;0.69;0.29;LB;27;0;RC;1;162.12580181195256;0.5238095238095237;0.08813678829543452;20;22
20;0.69;0.29;LB;27;B;RC;2;111.25662288619537;0.2222222222222222;0.21542438604049977;35;10
17;0.755;0.35;HB;28;0;RC;1;122.97480992726763;0.6106194690265487;0.08042205494434794;22;34
17;0.755;0.35;HB;28;B;RC;2;82.8957131902005;0.290909090909091;0.10469951239941368;39;16
06;0.95;0.415;LB;29;B;RC;1;191.60466092433518;0.3445378151260505;0.24087024087024084;39;21
06;0.95;0.415;LB;29;0;RC;2;262.45585016152097;0.8487394957983193;0.0823451910408432;9;51
01;0.89;0.388;LB;30;0;RC;1;185.55842142605235;0.7547169811320754;0.08781173164734808;13;40
01;0.89;0.388;LB;30;B;RC;2;105.4469919544725;0.27559055118110243;0.3263403263403263;46;18
19;0.8;0.38;LB;31;B;RC;1;78.42924487726671;0.32673267326732686;0.3556305412200608;34;16
19;0.8;0.38;LB;31;0;RC;2;102.40356019020189;0.6261682242990654;0.14703071471630422;20;34
21;0.76;0.344;HB;32;0;RC;1;69.97884236190998;0.5106382978723405;0.08965393580778196;23;24
21;0.76;0.344;HB;32;B;RC;2;47.6066531205823;0.47572815533980584;0.2123701978704395;27;25
14;0.74;0.32;LB;33;B;RC;1;114.06892013158885;0.2592592592592593;0.23964131106988248;40;14
14;0.74;0.32;LB;33;0;RC;2;139.55425020189384;0.6822429906542056;0.15907102521275748;17;37
05;0.8;0.36;LB;34;0;RC;1;163.83017819598706;0.6703296703296703;0.14063448357537267;15;31
05;0.8;0.36;LB;34;B;RC;2;70.15796050978686;0.41509433962264153;0.1377410468319559;31;22
12;0.685;0.31;LB;35;0;RC;1;123.14714867417933;0.3675213675213675;0.1605295003828011;37;21
12;0.685;0.31;LB;35;B;RC;2;103.76412327642606;0.2884615384615384;0.23384456593610398;37;15
04;0.71;0.3;LB;36;0;RC;1;196.23292246066552;0.5365853658536585;0.1456098626413629;19;22
04;0.71;0.3;LB;36;B;RC;2;156.70476932688672;0.13580246913580254;0.28634072910530795;35;5
04;0.71;0.3;HB;37;0;RC;1;164.08293985772391;0.5862068965517242;0.1611006395695391;18;26
04;0.71;0.3;HB;37;B;RC;2;110.99255921128925;0.2432432432432433;0.343874128033461;42;14
09;0.76;0.3;LB;38;0;RC;1;178.07495390378563;0.7272727272727273;0.0766389233764044;18;48
09;0.76;0.3;LB;38;B;RC;2;107.37492948923827;0.5070422535211268;0.20202020202020202;35;36
02;1.06;0.477;LB;39;B;RC;1;106.50679947318694;0.4393939393939393;0.39511668037479636;37;29
02;1.06;0.477;LB;39;0;RC;2;194.92692196292705;0.6637168141592921;0.08172338269425648;19;37
22;0.72;0.277;HB;40;B;RC;1;98.43484661540344;0.37864077669902907;0.26364789823191126;32;20
22;0.72;0.277;HB;40;0;RC;2;183.40618012858914;0.5578947368421053;0.2670940170940171;21;27
