Ant;Condition;Order;Mean angular speed;blocked oscillation;fourrier;nb_osci;nb_block
15;0;1;305.410204587319;0.6764705882352942;0.13578654355353384;11;23
15;V;2;262.8600740318236;0.4117647058823529;0.249273854424069;20;14
15;W;3;210.22033430023654;0.5135135135135135;0.14150121908742597;18;19
15;2;4;148.74466449777535;0.22727272727272727;0.4529600942156996;34;10
15;B;5;161.23119696151363;0.2;0.49771974905664745;32;8
15;H;6;172.13104741353192;0.5675675675675675;0.1547200671927149;16;21
16;V;1;463.1276917403907;0.7777777777777778;0.20092425155716293;8;28
16;2;2;87.18293788342771;0.20454545454545456;0.5671030894790048;35;9
16;0;3;236.1912446673201;0.5384615384615384;0.2012310606060606;12;14
16;H;4;123.8168387918868;0.4857142857142857;0.1448306595365419;18;17
16;W;5;144.39927982775993;0.5116279069767442;0.3229974160206718;21;22
16;B;6;114.86132944029528;0.32608695652173914;0.5260148656375071;31;15
17;2;1;139.04488554181611;0.02631578947368421;0.46013278117399586;37;1
17;H;2;194.3405951730224;0.5;0.13621694119619432;16;16
17;V;3;362.25905400666056;0.2857142857142857;0.26666666666666666;15;6
17;B;4;127.47754395002379;0.25806451612903225;0.22598140495867766;23;8
17;0;5;345.9357413335575;0.8333333333333334;0.19483794067757756;5;25
17;W;6;163.2607618664714;0.32142857142857145;0.1957841153821053;19;9
18;H;1;68.26445393694699;0.4230769230769231;0.16084410988869585;15;11
18;B;2;135.2440279086299;0.53125;0.3167944768521553;15;17
18;2;3;93.6604561112618;0.16666666666666666;0.5367326400536732;35;7
18;W;4;143.49268339650854;0.2727272727272727;0.20367981533030077;24;9
18;V;5;181.31509961827348;0.47058823529411764;0.2346473585411638;18;16
18;0;6;148.3403653683896;0.23333333333333334;0.24697721366750425;23;7
19;B;1;167.45723148033042;0.1875;0.2131157522986056;26;6
19;H;2;229.51706986174946;0.7857142857142857;0.2241348395194549;9;33
19;W;3;194.43905498319532;0.5555555555555556;0.19874672652450429;16;20
19;2;4;126.87445043095084;0.3829787234042553;0.3235198964736331;29;18
19;0;5;226.00322108611007;0.3;0.17079002586248962;14;6
19;V;6;237.73838454753718;0.42857142857142855;0.21059165170357563;16;12
20;W;1;204.88812111117954;0.5;0.1806140878988561;20;20
20;B;2;102.61561309417648;0.3111111111111111;0.27852049910873433;31;14
20;0;3;282.6121030405307;0.75;0.4085801838610827;9;27
20;H;4;264.6727571141624;0.5357142857142857;0.17944059394836595;13;15
20;V;5;378.6031214466057;0.7368421052631579;0.11559254517000994;10;28
20;2;6;182.72430033438403;0.10526315789473684;0.5953444067392987;34;4
21;0;1;82.19486722325318;0.36666666666666664;0.18605083839159048;19;11
21;W;2;78.24816384688262;0.4634146341463415;0.1943585323395697;22;19
21;V;3;117.19662577890887;0.3333333333333333;0.21120967562640341;16;8
21;B;4;72.72058307197442;0.14705882352941177;0.3359778037889626;29;5
21;2;5;71.95485571233304;0.3125;0.3778736683000561;22;10
21;H;6;85.05295984009375;0.39285714285714285;0.24654832347140038;17;11
22;V;1;191.67710169839808;0.5833333333333334;0.2031607536194692;15;21
22;0;2;236.37079590955977;0.6388888888888888;0.3250167288022177;13;23
22;2;3;132.46502360505977;0.0625;0.445632798573975;30;2
22;W;4;169.0094280020406;0.625;0.1582994120307553;12;20
22;H;5;159.2810240653173;0.32142857142857145;0.22991677012921322;19;9
22;B;6;123.55281447697146;0.25;0.3747724595781132;27;9
23;2;1;64.36219548756567;0.2692307692307692;0.2642706131078224;19;7
23;V;2;171.14550513546092;0.8666666666666667;0.17303657560616875;4;26
23;H;3;145.21194636139631;0.6875;0.18151920900335275;10;22
23;0;4;180.28741718689503;0.5769230769230769;0.22102866741816413;11;15
23;B;5;71.29819684600305;0.36666666666666664;0.24013722126929674;19;11
23;W;6;123.28462495295679;0.7;0.12823547979797978;12;28
24;H;1;190.62910433269175;0.1;0.42328731440479284;36;4
24;2;2;160.68728975245486;0.4915254237288136;0.43385395808303295;30;29
24;B;3;133.93819822092368;0.20754716981132076;0.7126255317282812;42;11
24;V;4;173.31429534371694;0.717391304347826;0.1785156424331682;13;33
24;W;5;160.43009966986733;0.46;0.539552501761804;27;23
24;0;6;213.34566464002629;0.44680851063829785;0.2840226344191737;26;21
25;H;1;206.28339500512524;0.5517241379310345;0.1270567308303157;13;16
25;B;2;98.99548582499268;0.5227272727272727;0.13099292638197535;21;23
25;2;3;71.36389370958989;0.16666666666666666;0.4205679881355557;35;7
25;W;4;185.77712618149516;0.55;0.17036936077415837;9;11
25;V;5;380.2376595675847;0.875;0.1657715005636231;4;28
25;0;6;283.90572929399434;0.7741935483870968;0.2009780933878207;7;24
26;B;1;148.10442779142957;0.4;0.21400445129258688;24;16
26;H;2;240.62341196523334;0.825;0.1601640079441348;7;33
26;W;3;187.1132689385021;0.625;0.2682716308582359;12;20
26;2;4;121.8229667955715;0.52;0.1639109144180138;24;26
26;0;5;316.2754205339453;0.6666666666666666;0.12496094970321774;11;22
26;V;6;300.42215857704673;0.8157894736842105;0.4001867538184486;7;31
