Ant;Condition;Order;Mean angular speed;blocked oscillation;fourrier;nb_osci;nb_block
21;W;2;206.71008228389024;0.5;0.1979152922549149;18;18
21;1;3;234.9799566038839;0.7142857142857143;0.1993620414673046;10;25
21;B;4;137.8149077501762;0.3157894736842105;0.2344744422857908;26;12
21;8;5;255.67224846385673;0.675;0.16084410988869585;13;27
21;H;6;218.53847954943186;0.6111111111111112;0.2234422880490296;14;22
22;1;1;214.18127811848376;0.5952380952380952;0.23847241385184048;17;25
22;4;2;292.77922390123837;0.2727272727272727;0.21580119031393394;16;6
22;8;3;326.22182886664234;0.7;0.1673584147810952;9;21
22;W;4;278.1596495563454;0.6388888888888888;0.35494032565774875;13;23
22;H;5;196.70675359699973;0.5;0.2999276036818699;17;17
22;B;6;161.50296710212376;0.17142857142857143;0.3461289386123579;29;6
23;8;1;348.3408356728076;0.6666666666666666;0.19342359767891681;10;20
23;1;2;257.67021680647787;0.375;0.21598738633663792;15;9
23;H;3;177.45770090599316;0.36363636363636365;0.24034128462416632;21;12
23;4;4;193.78786544307835;0.5357142857142857;0.24975024975024973;13;15
23;B;5;155.82179607028974;0.30952380952380953;0.25936973155232784;29;13
23;W;6;196.5767971009694;0.7575757575757576;0.12714558169103624;8;25
24;H;1;207.61440052893954;0.7894736842105263;0.12741288144231383;8;30
24;8;2;227.72984233654395;0.6111111111111112;0.14439837448687007;14;22
24;B;3;192.66176056804812;0.3125;0.3009468250109961;22;10
24;1;4;215.9613504264195;0.6176470588235294;0.2266252266252266;13;21
24;W;5;231.22388286056236;0.59375;0.15666263819882725;13;19
24;4;6;238.46326849789241;0.6071428571428571;0.13146650890685596;11;17
