Ant;Eye;Trial;Gain;Order;Repetition;Mean angular speed;Mean angular velocity;blocked oscillation;fourrier;nb_osci;nb_block;Mean forward speed
09;RE;20;B;4;C3;63.598917130023054;-5.101624055125498;0.4642857142857143;0.17126806878125642;15;13;8.569536422918123
09;RE;20;3;5;C3;58.33672872553585;-4.921845673065415;0.42424242424242425;0.18540263271738458;19;14;9.216685528397997
09;RE;20;5;6;C3;53.147831123443474;-16.670382221969174;0.3548387096774194;0.33795201081446435;20;11;8.731278479151618
10;2E;21;1;1;C1;188.96415470087157;22.12580121367739;0.6153846153846154;0.21785068514040473;15;24;11.185232510466976
10;2E;21;0;2;C1;258.1878518911326;32.912234024842306;0.7857142857142857;0.13986013986013984;9;33;8.651321994718336
10;2E;21;3;3;C1;158.42294056296805;23.457895823933296;0.4090909090909091;0.3202579733191978;26;18;10.940349273254215
10;2E;21;-1;4;C1;372.7909926257389;-121.420167814465;0.46875;0.2234736748011084;17;15;6.021669096349536
10;2E;21;5;5;C1;127.9848139370142;24.19663128393483;0.42857142857142855;0.15701051970482022;24;18;7.184751916307443
10;2E;21;B;6;C1;115.20536641213677;25.394878198791815;0.15217391304347827;0.4337453914552158;39;7;8.927469991414037
10;LE;22;1;1;C2;104.10851317256002;70.99770507635942;0.4;0.37492832252657576;24;16;9.821481058136023
10;LE;22;0;2;C2;96.42309963924265;39.21145937409586;0.3333333333333333;0.33618511047738286;22;11;9.505488697413062
10;LE;22;3;3;C2;97.25855262621066;39.06255117024894;0.18181818181818182;0.40842348534656225;36;8;8.446495415443612
10;LE;22;-1;4;C2;109.71000554889719;40.23771705614503;0.29411764705882354;0.27279547159517153;24;10;6.904936529557964
10;LE;22;5;5;C2;76.53326442991828;7.059651193826358;0.20930232558139536;0.33820346320346323;34;9;7.154695691255917
10;LE;22;B;6;C2;77.52654523890024;26.946099685179828;0.22857142857142856;0.26308866087871613;27;8;7.987710010072522
11;2E;23;3;1;C2;87.08486632959527;3.906118109766594;0.3333333333333333;0.4878842088144414;36;18;13.571892980671546
11;2E;23;1;2;C2;132.67136674969862;28.76188244849804;0.5333333333333333;0.2149151085321298;14;16;12.601535425185686
11;2E;23;5;3;C2;75.75801708703075;10.942473140662814;0.2916666666666667;0.46954808859570757;34;14;11.4103624570173
11;2E;23;0;4;C2;100.00931371364267;56.38669472859327;0.6046511627906976;0.1867844507438416;17;26;3.036541814657792
11;2E;23;B;5;C2;93.10891006129916;12.78470096928656;0.20833333333333334;0.4820936639118457;38;10;6.358792461829333
11;2E;23;-1;6;C2;307.3437236219651;234.22584152601678;0.5714285714285714;0.16570351498581162;18;24;8.625070590686862
11;LE;24;3;1;C3;94.44417642024389;-8.449229444110967;0.23529411764705882;0.25756455911666554;26;8;7.334036021878698
11;LE;24;1;2;C3;112.92767003961676;19.33332008552254;0.23529411764705882;0.2021699575443089;26;8;8.936441939854067
11;LE;24;5;3;C3;98.4245736610495;11.022474225506299;0.3157894736842105;0.16153001227628092;26;12;7.759742003141789
11;LE;24;0;4;C3;118.49245014546948;-18.919413785081765;0.35294117647058826;0.344842450105608;22;12;10.130380809988884
11;LE;24;B;5;C3;95.36180095543307;-9.033275434185063;0.325;0.29312470940222773;27;13;8.890082779480597
11;LE;24;-1;6;C3;130.91635720071167;-59.331539503785145;0.4444444444444444;0.2922077922077922;20;16;9.099013725803445
11;RE;25;3;1;C1;105.98013138399097;3.399913852586693;0.2982456140350877;0.26722248944471166;40;17;5.5166994215892755
11;RE;25;1;2;C1;100.49115420868436;-2.9680647783633334;0.36363636363636365;0.23412937320222085;28;16;4.237091500244725
11;RE;25;5;3;C1;87.00302928347524;-0.6057094412632964;0.3793103448275862;0.5024737167594311;36;22;4.881486998679033
11;RE;25;0;4;C1;107.88708669927162;-16.74233253610532;0.44680851063829785;0.23063193149228883;26;21;4.250266432825485
11;RE;25;B;5;C1;75.72503068646101;-8.456838272049064;0.32;0.29569701700849244;34;16;3.4530464090748274
11;RE;25;-1;6;C1;166.96358072253562;-62.683700239116554;0.74;0.11492931846914148;13;37;4.583696332846048
12;LE;26;5;1;C1;82.89028891858976;2.1783037417081292;0.21428571428571427;0.29379669268865943;33;9;5.652540529835341
12;LE;26;3;2;C1;80.57466168268624;12.026773648746806;0.27906976744186046;0.29926182084192327;31;12;5.2856850102703845
12;LE;26;B;3;C1;36.12304543819952;11.977756362270009;0.44680851063829785;0.37052614712892307;26;21;6.343296023357456
12;LE;26;1;4;C1;94.57108399852777;50.18516179709293;0.47619047619047616;0.22034751951649456;22;20;4.697269865041055
12;LE;26;-1;5;C1;122.3673442706428;90.44150269719832;0.53125;0.1657715005636231;15;17;4.555369240837027
12;LE;26;0;6;C1;95.53047433287315;66.37853505422426;0.6111111111111112;0.21102388790411072;14;22;4.861546757726777
12;RE;27;3;1;C2;65.58217359199169;-11.663726261934263;0.23529411764705882;0.23261223540358222;26;8;6.820726064470375
12;RE;27;5;2;C2;61.22280109975188;-17.528026325869597;0.25;0.22483699317994452;24;8;5.547198673466133
12;RE;27;B;3;C2;65.27989919242957;-20.66509070854732;0.3055555555555556;0.3280006771626883;25;11;6.355609500063062
12;RE;27;1;4;C2;78.43799342601851;-21.162431942620227;0.3333333333333333;0.18953330211608355;24;12;7.185249492733181
12;RE;27;-1;5;C2;109.64037913941996;-21.299877642366127;0.4857142857142857;0.19525148391127772;18;17;6.476197382496369
12;RE;27;0;6;C2;113.53311887545259;-70.21555172503828;0.46875;0.3216646701273348;17;15;8.308762334447014
13;2E;28;B;1;C1;65.6144439025881;-2.9742180093572785;0.16666666666666666;0.41995446809451187;30;6;9.100080212686104
13;2E;28;-1;2;C1;276.7776517423712;121.7106035416921;0.6379310344827587;0.10045203415369161;21;37;5.521369510773893
13;2E;28;5;3;C1;60.86035613512512;0.8623314188101048;0.3225806451612903;0.43380734721516845;42;20;7.64961766215914
13;2E;28;0;4;C1;198.3289525815841;-75.62794346821389;0.6052631578947368;0.19154886411523578;15;23;9.913661077109541
13;2E;28;3;5;C1;97.21947395798931;50.90569713893487;0.4375;0.5017057997190447;27;21;5.331136667247944
13;2E;28;1;6;C1;136.93208205719458;70.92568556527945;0.54;0.1806140878988561;23;27;6.669425702920309
13;LE;29;B;1;C3;115.7407363591956;0.6745094806498666;0.35294117647058826;0.2793420935013855;22;12;7.836073469422584
13;LE;29;-1;2;C3;191.58603241818648;-90.30751413922121;0.5882352941176471;0.24820054604120126;14;20;7.187289976810174
13;LE;29;5;3;C3;87.71224403294266;-9.808022521845011;0.5;0.2617972380391387;20;20;7.833766661614429
13;LE;29;0;4;C3;137.96488666672496;-38.46656607907051;0.4722222222222222;0.20273154075970976;19;17;7.488656343693403
13;LE;29;3;5;C3;99.8332430217747;23.999703798483413;0.3611111111111111;0.24137098720733766;23;13;6.884800477218305
13;LE;29;1;6;C3;115.92621432351116;6.443538933165036;0.46153846153846156;0.2520830016451732;14;12;7.278648481879953
13;RE;30;B;1;C2;114.11918059832477;16.836501704171965;0.3333333333333333;0.29180695847362514;24;12;8.19913649042805
13;RE;30;-1;2;C2;252.69390698833786;-76.89598869995548;0.7272727272727273;0.1531646166171827;9;24;8.095245817028589
